mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
729.88,69.37,9.34,0,1,0
7.38,3.72,24.31,1,0,3.27
8.2,2.31,24.31,13,0,67.17
8.18,4.63,25.7,30,0,947.97
6.08,7.91,21.94,37,0,463.92
7.9,5.25,21.94,59,0,405.96
7,1.8,25.7,2,0,109.66
8.12,3.96,11.61,70,0,56.64
9.96,3.32,13.04,5,0,2.68
9.65,4.36,18.78,109,0,641.44
8.57,6.06,11.61,91,0,53.38
8,3.67,21.94,2,0,813.35
8.67,3.79,21.94,8,0,774.67
9,4.45,21.94,21,0,814.39
6,5.29,21.94,3,0,375.67
6,4.26,21.94,6,0,724.51
4.37,3.55,16.78,275,0,7.87
8.14,3.91,21.94,11,0,401.24
6.95,3.3,21.94,57,0,385.86
7.25,3.19,11.61,53,0,10.27
8.33,5.69,21.94,61,0,750.93
6.42,3.97,19.47,73,0,7.96
7.53,4.51,17.01,38,0,6.73
6.5,2.53,21.94,8,0,4.59
1114.91,38.06,0,0,1,0
1451.04,10.5,16.36,15,0,21.13
10,3.45,13.21,88,0,236.23
7,2.87,25.7,4,0,939.86
31.03,8.42,31.39,39,0,92.72
23.5,3.49,29.48,18,0,502.17
18.12,3.88,29.48,77,0,155.37
14.81,4.29,13.71,3,0,625.92
7.6,4.35,28.46,25,0,770.62
55.1,11.02,14.55,0,0,7.27
25.71,4.06,29.48,18,0,569.05
13.18,4.12,28.45,251,0,21.58
9.6,8.51,29.48,13,0,21.65
31.35,18.02,31.39,34,0,253.85
3.17,7.11,21.94,15,0,370.36
13.33,7.19,29.48,6,0,115.87
9.33,2.46,28.46,5,0,371.57
23.5,3.47,29.48,26,0,494.73
8.55,4.69,17.01,0,0,96.28
21.5,4.23,28.45,6,0,101.98
8.5,3.09,28.46,10,0,393.6
8.41,2.88,21.94,84,0,27.31
16.26,4.95,28.88,364,0,14.44
7.33,3.31,21.94,136,0,134.7
7.18,3.89,21.94,33,0,354.74
20.41,5.62,29.48,251,0,14.33
26,5.31,29.48,82,0,811.61
9.08,3.2,17.01,75,0,4.62
1.06,3.06,21.94,7,1,0
0.23,0.88,11.61,4,1,0
4.63,4.05,13.21,65,1,30.87
1467.63,21.09,16.36,0,0,0
1453,5.16,16.36,4,0,21.36
1454.8,4.73,16.36,10,0,30.93
1458.21,17.47,16.36,1,0,39.13
6,9.89,21.94,5,0,49.86
7.8,3.98,21.94,27,0,797.17
12.33,13.13,21.94,11,0,762.31
9.75,6.82,21.94,23,0,637.65
7.73,2.51,21.94,33,0,700.22
10,16.5,17.01,2,0,364.64
10.15,3.07,21.94,61,0,530.34
1279,26.73,7.94,0,0,14.06
1468.4,17.84,16.36,4,0,13.86
859.89,19.44,22.23,0,0,4.37
889.41,7.77,24.49,1,0,1599.98
1022.52,39.43,11.21,0,0,0
1124.19,28.73,11.2,0,1,0
1116.73,39.82,11.18,13,1,76.03
9.7,3.9,20.56,102,0,576.8
903.41,12.88,24.49,0,0,332.91
4.29,4.1,13.48,2,0,0
39,10.26,28.99,0,0,297.17
8.5,2.57,17.01,36,0,139.37
9.18,3.44,17.01,115,0,178.59
7.4,2.95,17.01,17,0,43.59
6,2.37,19.47,27,0,9.93
11,4.05,17.01,0,0,769.33
9.38,4.8,17.01,46,0,222.1
7.3,4.04,17.01,30,0,6.48
0.45,8.36,22.86,32,0,344.19
882,21.24,29.29,0,1,22.07
894.43,18.54,29.24,0,1,0
889,1.74,24.49,0,0,1690.02
8.71,4.8,21.94,33,0,634.07
7,3.06,21.94,29,0,91.5
6.67,4.42,19.47,47,0,12.74
7.83,3.99,21.94,53,0,394.05
1458.1,9.61,16.36,30,0,21.03
1512.16,26.3,27.2,0,0,0
1760.6,27.75,11.01,0,0,0
1461.91,29.28,16.36,19,0,12.44
79.96,13.08,26.79,8,0,4.1
19.19,6.29,18.62,217,0,32.47
37.92,8.1,18.62,132,0,5.74
22,10.02,18.62,5,0,745.99
7.14,15.7,16.61,0,1,0
14.53,7.55,26.2,28,0,165.22
17.53,9.05,16.61,5,0,57.31
17.15,4.24,17.11,116,0,143.86
33.27,10.91,18.26,23,0,349.06
25.41,6.3,18.26,103,0,3.24
19.33,5.85,17.11,5,0,140.65
22.83,7.88,16.61,34,0,0
23.4,9.21,19.21,194,0,262.22
18.43,7.55,16.61,2,0,12.58
9.5,15.82,16.61,0,0,0
15.66,7.55,16.61,0,0,9.52
512.58,26.64,18.71,0,1,13.27
830.01,26.96,5.19,0,0,5.58
697.62,40.23,5.19,0,0,75.81
1070.5,5.77,5.28,0,0,14.95
1699.77,31.12,14.06,0,0,0
11,4.05,17.01,0,0,769.33
6.06,3.08,11.61,49,0,12.76
28.34,8.08,17.89,67,0,110.61
12.42,5.37,19.19,149,0,30.1
5.13,6.24,11.61,93,0,10.83
1.26,1.99,11.61,2,0,0
9.57,3.05,25.7,69,0,383.82
23.29,9.87,24.26,156,0,384.28
9.43,7.06,11.61,7,0,249.09
6.26,3.47,11.61,28,0,197.87
7,2.36,16.78,9,0,276.25
7.57,3.51,11.61,18,0,217.55
6.13,7.21,21.94,5,0,379.1
3.46,4.6,21.94,100,0,157.6
4.25,5.9,21.94,23,0,196.51
5.75,5.88,21.94,19,0,482.32
6.15,3.72,21.94,111,0,321.25
2.27,3.53,21.94,13,0,353.51
6.4,4.43,21.94,42,0,545.93
5,4.3,21.94,32,0,246.43
3.14,2.65,20.83,108,0,0
23.7,6.43,13.3,52,0,0
14.32,5.43,15.96,181,0,377.3
19.5,7.33,13.3,18,0,122.58
9.84,3.53,13.3,6,0,19.02
36.36,7.78,13.42,21,0,0
8.47,6.33,13.3,99,0,189.83
16.75,11.65,13.55,0,0,0
11.38,3.93,28.46,197,0,813.07
5.6,5.79,28.46,11,0,352.06
8.74,4.35,15.96,46,0,7.93
9.04,3.07,25.7,49,0,112.35
11.5,4.19,25.7,6,0,1048.66
19.67,9.21,25.7,10,0,431.44
24.93,6.63,28.55,82,0,221.79
18.33,7.6,25.7,10,0,411.84
14.4,6.09,15.55,0,0,125.27
19,8.26,28.45,36,0,138.21
24.24,4.86,28.45,49,0,380.52
15,6.54,16.26,2,0,267.08
14.4,12.86,16.26,40,0,198.82
13.75,5.09,16.26,7,0,215.25
23.94,8.91,28.55,196,0,20.7
26.5,8.68,25.7,3,0,583.58
21.5,5.47,28.45,4,0,119.58
13,3.77,28.45,13,0,180.21
12.25,4.46,28.45,10,0,180.21
32.5,6.22,28.45,5,0,238.18
31,8.6,28.45,4,0,227.08
8.86,7.7,31.39,13,0,111.9
9,0.57,24.31,0,0,256.74
11.41,4.25,21.68,0,0,4.67
14.51,4.04,21.68,96,0,6.11
28,7.33,21.68,4,0,71.69
28,8.52,21.68,17,0,154.15
23,5.43,28.45,32,0,514.49
15,6.87,28.45,7,0,494.23
17,7.86,28.45,4,0,497.36
50.29,9.85,25.01,32,0,176.11
7.3,2.22,21.94,31,0,710.11
9.11,3.54,21.94,28,0,917.68
7.5,3.48,21.94,88,0,36.66
6.4,5.51,28.46,120,0,236.89
6.4,2.76,21.94,17,0,692.8
8.38,3.98,21.94,25,0,719.17
11.38,5.53,21.94,25,0,719.17
6.82,5.87,21.94,29,0,349.09
10.5,9.53,21.94,2,0,751.29
7.55,6.32,21.94,33,0,277.56
8.17,4.54,21.94,35,0,354.74
8.28,4.51,21.94,53,0,454.82
9.6,5.69,21.94,12,0,530.34
8.56,3.89,21.94,27,0,739.5
9.44,4.15,21.94,25,0,616.51
11.11,4.56,21.94,52,0,693.22
7.71,4.69,21.94,20,0,831.67
8.2,10.22,21.94,45,0,841.85
8.3,4.77,21.94,31,0,673.9
8.81,3.17,21.94,47,0,413.26
9.5,3.65,21.94,53,0,240.81
7.48,3.88,21.94,74,0,313.62
8.38,4.65,21.94,35,0,240.81
4.38,5.68,21.94,36,0,104.13
9.67,4.08,21.94,1,0,6.62
9.2,4.28,21.94,77,0,724.65
9.3,3.13,21.94,30,0,526.23
9.5,5.43,21.94,34,0,640.65
6.5,3.15,21.94,0,0,170.22
8.63,3.22,21.94,97,0,326.84
9.04,5.17,21.94,70,0,412.08
8.88,2.84,21.94,79,0,400.26
8.3,4.16,21.94,27,0,777.09
9.42,5.34,21.94,56,0,545.17
3.66,5.28,28.46,116,0,17.83
8.77,3.02,21.94,199,0,129.98
9.51,3.09,27.08,148,0,245.34
8.96,3.73,28.46,61,0,296.36
