mean_slope,mean_precipitation,imperviousness,flooded,distance_to_drainage ,min_elevation,min_slope,max_slope
69.37,9.34,0,1,0,671,25.96,106.99
3.72,24.31,1,0,3.27,5,0.81,7.8
2.31,24.31,13,0,67.17,8,1.28,4.13
4.63,25.7,30,0,947.97,7,1.72,8.52
7.91,21.94,37,0,463.92,3,4.62,11.48
5.25,21.94,59,0,405.96,5,0.81,10.21
1.8,25.7,2,0,109.66,7,1.15,2.43
3.96,11.61,70,0,56.64,5,0.57,9.24
3.32,13.04,5,0,2.68,6,0.81,7.69
4.36,18.78,109,0,641.44,3,0,10.77
6.06,11.61,91,0,53.38,5,1.62,10.91
3.67,21.94,2,0,813.35,8,3.67,3.67
3.79,21.94,8,0,774.67,7,1.28,8.6
4.45,21.94,21,0,814.39,7,1.62,7.09
5.29,21.94,3,0,375.67,6,5.29,5.29
4.26,21.94,6,0,724.51,5,2.87,5.19
3.55,16.78,275,0,7.87,1,0.57,9.33
3.91,21.94,11,0,401.24,6,1.28,5.41
3.3,21.94,57,0,385.86,4,0.57,7.18
3.19,11.61,53,0,10.27,5,0.57,6.09
5.69,21.94,61,0,750.93,6,1.62,11.81
3.97,19.47,73,0,7.96,-1,0,13.42
4.51,17.01,38,0,6.73,4,1.28,9.9
2.53,21.94,8,0,4.59,6,1.72,3.24
38.06,0,0,1,0,1065,12.57,70.05
10.5,16.36,15,0,21.13,1446,1.28,31.08
3.45,13.21,88,0,236.23,6,0.57,11.31
2.87,25.7,4,0,939.86,7,2.87,2.87
8.42,31.39,39,0,92.72,3,1.15,21.83
3.49,29.48,18,0,502.17,22,2.43,4.59
3.88,29.48,77,0,155.37,13,0.57,10.32
4.29,13.71,3,0,625.92,12,0.57,8.6
4.35,28.46,25,0,770.62,5,0.57,7
11.02,14.55,0,0,7.27,30,1.28,27.24
4.06,29.48,18,0,569.05,25,1.62,6.54
4.12,28.45,251,0,21.58,9,0.57,10.38
8.51,29.48,13,0,21.65,5,5.99,11.93
18.02,31.39,34,0,253.85,14,8.11,26.85
7.11,21.94,15,0,370.36,0,3.44,9.24
7.19,29.48,6,0,115.87,12,5.76,9.26
2.46,28.46,5,0,371.57,8,1.81,3.49
3.47,29.48,26,0,494.73,22,2.36,5.76
4.69,17.01,0,0,96.28,3,0.57,9.07
4.23,28.45,6,0,101.98,21,3.85,4.62
3.09,28.46,10,0,393.6,8,1.81,4.17
2.88,21.94,84,0,27.31,6,0.57,6.54
4.95,28.88,364,0,14.44,9,0,17.86
3.31,21.94,136,0,134.7,5,0,8.62
3.89,21.94,33,0,354.74,4,0.57,5.73
5.62,29.48,251,0,14.33,5,0.57,11.93
5.31,29.48,82,0,811.61,22,1.28,8.11
3.2,17.01,75,0,4.62,4,1.28,7.18
3.06,21.94,7,1,0,0,0,18
0.88,11.61,4,1,0,0,0,7.99
4.05,13.21,65,1,30.87,0,0,15.74
21.09,16.36,0,0,0,1447,2.29,44.62
5.16,16.36,4,0,21.36,1453,5.16,5.16
4.73,16.36,10,0,30.93,1453,3.67,5.76
17.47,16.36,1,0,39.13,1449,4.05,38.46
9.89,21.94,5,0,49.86,3,6.97,12.35
3.98,21.94,27,0,797.17,6,0.57,7.3
13.13,21.94,11,0,762.31,10,12.16,13.87
6.82,21.94,23,0,637.65,7,1.72,15.49
2.51,21.94,33,0,700.22,5,0.81,4.48
16.5,17.01,2,0,364.64,10,14.5,18.49
3.07,21.94,61,0,530.34,8,0,9.75
26.73,7.94,0,0,14.06,1273,10.89,41.38
17.84,16.36,4,0,13.86,1456,3.44,48.65
19.44,22.23,0,0,4.37,802,0.57,53.18
7.77,24.49,1,0,1599.98,885,0.57,24.09
39.43,11.21,0,0,0,950,2.56,76.8
28.73,11.2,0,1,0,1040,2.56,76.17
39.82,11.18,13,1,76.03,1035,6.41,89.6
3.9,20.56,102,0,576.8,6,0,8.96
12.88,24.49,0,0,332.91,887,2.87,21.34
4.1,13.48,2,0,0,0,0,13
10.26,28.99,0,0,297.17,36,9.33,11.82
2.57,17.01,36,0,139.37,7,0,5.29
3.44,17.01,115,0,178.59,6,0.57,7.69
2.95,17.01,17,0,43.59,6,0.57,9.33
2.37,19.47,27,0,9.93,5,1.28,4.62
4.05,17.01,0,0,769.33,11,4.05,4.05
4.8,17.01,46,0,222.1,5,1.81,8.15
4.04,17.01,30,0,6.48,6,1.15,7.18
8.36,22.86,32,0,344.19,-6,1.62,12.19
21.24,29.29,0,1,22.07,873,18.38,22.93
