osm_id,mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness_values,flooded,elevation,slope,precipitation,permeability
804329332,3.67,5.27,21.94,169,1,0.01,0.25,6.06,6.79
97246700,5.70,4.22,21.94,147,1,0.02,0.20,6.06,7.21
690881832,2.59,4.29,11.61,93,1,0.01,0.21,2.91,8.24
690904194,4.72,5.73,11.61,79,1,0.02,0.28,2.91,8.50
738401700,2.13,4.86,16.26,67,1,0.01,0.23,4.33,8.73
845483972,3.96,10.25,11.61,65,1,0.02,0.50,2.91,8.77
31518637,4.63,4.05,13.21,65,1,0.02,0.19,3.40,8.77
255207249,5.28,5.16,18.18,63,1,0.02,0.25,4.92,8.80
255220638,4.98,4.54,18.18,61,1,0.02,0.22,4.92,8.84
364410634,5.62,5.81,21.94,58,1,0.02,0.28,6.06,8.90
497363878,10.34,5.72,16.26,52,1,0.04,0.28,4.33,9.01
445667085,9.73,5.62,18.97,47,1,0.04,0.27,5.15,9.11
237415488,8.75,6.51,25.06,43,1,0.03,0.31,7.01,9.18
542413533,7.03,5.21,16.26,36,1,0.03,0.25,4.33,9.32
477878013,9.73,5.65,19.30,35,1,0.04,0.27,5.26,9.34
398868140,2.16,5.10,21.94,34,1,0.01,0.25,6.06,9.35
722979843,4.91,6.35,11.61,29,1,0.02,0.31,2.91,9.45
878202158,649.62,32.47,10.38,25,1,2.58,1.59,2.54,9.53
497372375,5.90,5.59,19.30,23,1,0.02,0.27,5.26,9.56
1040126655,13.68,9.18,23.12,21,1,0.05,0.45,6.42,9.60
495355196,7.50,5.89,23.24,21,1,0.03,0.28,6.46,9.60
618876467,4.71,4.49,10.33,20,1,0.02,0.22,2.52,9.62
398487194,895.44,34.17,6.99,16,1,3.56,1.67,1.51,9.70
860968194,7.98,8.08,16.26,16,1,0.03,0.39,4.33,9.70
493838510,2.92,6.25,16.26,15,1,0.01,0.30,4.33,9.72
622626875,5.74,10.89,16.26,15,1,0.02,0.53,4.33,9.72
31716707,1116.73,39.82,11.18,13,1,4.44,1.95,2.78,9.75
254100551,8.18,3.46,15.09,12,1,0.03,0.17,3.97,9.77
632408042,15.73,5.25,15.66,10,1,0.06,0.25,4.15,9.81
849393478,5.47,8.85,28.45,10,1,0.02,0.43,8.04,9.81
318518442,10.06,5.77,14.06,8,1,0.04,0.28,3.66,9.85
852317578,12.60,6.78,23.87,8,1,0.05,0.33,6.65,9.85
849623457,6.07,5.18,18.18,7,1,0.02,0.25,4.92,9.87
255220655,4.15,6.78,23.24,7,1,0.02,0.33,6.46,9.87
255207246,3.31,6.98,23.24,7,1,0.01,0.34,6.46,9.87
97249195,3.34,4.48,10.33,6,1,0.01,0.21,2.52,9.89
236150735,6.63,10.42,21.68,6,1,0.03,0.51,5.98,9.89
367216165,1.67,2.32,21.98,6,1,0.01,0.11,6.07,9.89
270573606,508.72,42.78,11.54,5,1,2.02,2.09,2.89,9.91
